
Time        Manual_Calculation
0.00E+00    100.000
1.60E+01    96.6139
3.23E+01    93.3794
4.90E+01    90.1930
6.60E+01    87.0376
8.33E+01    83.9044
1.01E+02    80.7895
1.19E+02    77.6918
1.37E+02    74.6126
1.56E+02    71.5545
1.75E+02    68.5221
1.95E+02    65.5215
2.15E+02    62.5610
2.35E+02    59.6505
2.56E+02    56.8017
2.77E+02    54.0276
2.98E+02    51.3421
3.20E+02    48.7593
3.43E+02    46.2923
3.66E+02    43.9523
3.89E+02    41.7488
4.13E+02    39.6872
4.37E+02    37.7690
4.62E+02    35.9925
4.87E+02    34.3533
5.13E+02    32.8457
5.39E+02    31.4636
5.66E+02    30.2008
5.93E+02    29.0501
6.21E+02    28.0026
6.50E+02    27.0492
6.79E+02    26.1808
7.08E+02    25.3893
7.38E+02    24.6672
7.69E+02    24.0078
8.01E+02    23.4050
8.33E+02    22.8535
8.65E+02    22.3485
8.99E+02    21.8857
9.33E+02    21.4614
9.67E+02    21.0721
1.00E+03    20.7148
1.04E+03    20.3868
1.08E+03    20.0856
1.11E+03    19.8090
1.15E+03    19.5550
1.19E+03    19.3218
1.23E+03    19.1075
1.27E+03    18.9085
1.31E+03    18.7227
1.35E+03    18.5489
1.40E+03    18.3852
1.44E+03    18.2304
1.49E+03    18.0836
1.53E+03    17.9438
1.58E+03    17.8102
1.63E+03    17.6823
1.67E+03    17.5596
1.72E+03    17.4411
1.77E+03    17.3260
1.83E+03    17.2140
1.88E+03    17.1047
1.93E+03    16.9978
1.99E+03    16.8929
2.04E+03    16.7899
2.10E+03    16.6884
2.16E+03    16.5882
2.22E+03    16.4888
2.28E+03    16.3900
2.34E+03    16.2914
2.40E+03    16.1930
2.47E+03    16.0946
2.53E+03    15.9961
2.60E+03    15.8974
2.67E+03    15.7982
2.74E+03    15.6986
2.81E+03    15.5984
2.88E+03    15.4976
2.95E+03    15.3960
3.03E+03    15.2936
3.10E+03    15.1904
3.18E+03    15.0862
3.26E+03    14.9810
3.34E+03    14.8747
3.42E+03    14.7674
3.51E+03    14.6589
3.60E+03    14.5493
3.68E+03    14.4386
3.77E+03    14.3266
3.86E+03    14.2134
3.96E+03    14.0990
4.05E+03    13.9833
4.15E+03    13.8663
4.25E+03    13.7481
4.35E+03    13.6287
4.45E+03    13.5079
4.56E+03    13.3859
4.67E+03    13.2626
4.77E+03    13.1381
4.89E+03    13.0123
5.00E+03    12.8852
