flow_dir,record,ZONE   1,ZONE   2,ZONE   3,ZONE   4
in,CONSTANT HEAD,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
in,WELLS,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
in,RIVER LEAKAGE,0.0000000000000000e+00,4.1941902600228786e-03,0.0000000000000000e+00,0.0000000000000000e+00
in,RECHARGE,1.5300000726711005e-02,2.0000000949949026e-02,1.5900000755209476e-02,1.8300000869203359e-02
in,FROM ZONE   1,0.0000000000000000e+00,1.3101870194077492e-02,2.8348490595817566e-03,0.0000000000000000e+00
in,FROM ZONE   2,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.2257143389433622e-03
in,FROM ZONE   3,6.3671695534139872e-04,0.0000000000000000e+00,0.0000000000000000e+00,1.3000612147152424e-02
in,FROM ZONE   4,0.0000000000000000e+00,1.1461640242487192e-03,0.0000000000000000e+00,0.0000000000000000e+00
 ,Total IN,1.5936717682052404e-02,3.8442225428298116e-02,1.8734849814791232e-02,3.2526327355299145e-02
out,CONSTANT HEAD,-0.0000000000000000e+00,-0.0000000000000000e+00,-0.0000000000000000e+00,-0.0000000000000000e+00
out,WELLS,0.0000000000000000e+00,1.6199998557567596e-02,1.5499999281018972e-03,4.3000001460313797e-03
out,RIVER LEAKAGE,0.0000000000000000e+00,2.1016843616962433e-02,0.0000000000000000e+00,2.5892717763781548e-02
out,RECHARGE,-0.0000000000000000e+00,-0.0000000000000000e+00,-0.0000000000000000e+00,-0.0000000000000000e+00
out,TO ZONE   1,0.0000000000000000e+00,0.0000000000000000e+00,6.3671695534139872e-04,0.0000000000000000e+00
out,TO ZONE   2,1.3101870194077492e-02,0.0000000000000000e+00,0.0000000000000000e+00,1.1461640242487192e-03
out,TO ZONE   3,2.8348490595817566e-03,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
out,TO ZONE   4,0.0000000000000000e+00,1.2257143389433622e-03,1.3000612147152424e-02,0.0000000000000000e+00
 ,Total OUT,1.5936719253659248e-02,3.8442556513473392e-02,1.5187329030595720e-02,3.1338881934061646e-02
 ,IN-OUT,-1.5716068446636200e-09,-3.3108517527580261e-07,3.5475207841955125e-03,1.1874454212374985e-03
 ,Percent Error,-9.8615461384571265e-06,-8.6125021600906440e-04,2.0915642243174698e+01,3.7185987001386471e+00
