Time Step,   1,Stress Period,   1,Sim. Time, 1.000000E+00,Freyberg,
                ,  ZONE   1      ,  ZONE   2      ,  ZONE   3      ,
                ,    IN          ,    IN          ,    IN          ,
   CONSTANT HEAD,    0.000000E+00,    0.000000E+00,    0.000000E+00,
   FROM ZONE   0,    0.000000E+00,    0.000000E+00,    0.000000E+00,
   FROM ZONE   1,    0.000000E+00,    4.275267E+03,    4.919445E+02,
   FROM ZONE   2,    2.744845E+03,    0.000000E+00,    2.115656E+03,
   FROM ZONE   3,    4.515452E+02,    1.215964E+03,    0.000000E+00,
Total IN        ,    3.196390E+03,    5.491231E+03,    2.607601E+03,
                ,   OUT          ,   OUT          ,   OUT          ,
   CONSTANT HEAD,    8.212819E+02,    6.488047E+02,    9.762322E+02,
     TO ZONE   0,    0.000000E+00,    0.000000E+00,    0.000000E+00,
     TO ZONE   1,    0.000000E+00,    2.744845E+03,    4.515452E+02,
     TO ZONE   2,    4.275267E+03,    0.000000E+00,    1.215964E+03,
     TO ZONE   3,    4.919445E+02,    2.115656E+03,    0.000000E+00,
Total OUT       ,    5.588493E+03,    5.509306E+03,    2.643741E+03,
 IN-OUT         ,   -2.392103E+03,   -1.807514E+01,   -3.614072E+01,
Percent Error   ,   -5.445953E+01,   -3.286229E-01,   -1.376437E+00,
,
Time Step,   1,Stress Period,   2,Sim. Time, 2.000000E+00,Freyberg,
                ,  ZONE   1      ,  ZONE   2      ,  ZONE   3      ,
                ,    IN          ,    IN          ,    IN          ,
         STORAGE,    2.368647E+02,    1.986951E+02,    1.998882E+02,
   CONSTANT HEAD,    0.000000E+00,    0.000000E+00,    0.000000E+00,
   FROM ZONE   0,    0.000000E+00,    0.000000E+00,    0.000000E+00,
   FROM ZONE   1,    0.000000E+00,    4.316417E+03,    4.876336E+02,
   FROM ZONE   2,    3.181480E+03,    0.000000E+00,    2.132501E+03,
   FROM ZONE   3,    4.493501E+02,    1.431192E+03,    0.000000E+00,
Total IN        ,    3.867695E+03,    5.946305E+03,    2.820023E+03,
                ,   OUT          ,   OUT          ,   OUT          ,
         STORAGE,    1.829620E+01,    6.878758E+00,    6.419054E+00,
   CONSTANT HEAD,    8.163473E+02,    6.439387E+02,    9.700520E+02,
     TO ZONE   0,    0.000000E+00,    0.000000E+00,    0.000000E+00,
     TO ZONE   1,    0.000000E+00,    3.181480E+03,    4.493501E+02,
     TO ZONE   2,    4.316417E+03,    0.000000E+00,    1.431192E+03,
     TO ZONE   3,    4.876336E+02,    2.132501E+03,    0.000000E+00,
Total OUT       ,    5.638694E+03,    5.964798E+03,    2.857013E+03,
 IN-OUT         ,   -1.770999E+03,   -1.849373E+01,   -3.699087E+01,
Percent Error   ,   -3.725914E+01,   -3.105293E-01,   -1.303175E+00,
,
Time Step,   1,Stress Period,   3,Sim. Time, 3.000000E+00,Freyberg,
                ,  ZONE   1      ,  ZONE   2      ,  ZONE   3      ,
                ,    IN          ,    IN          ,    IN          ,
         STORAGE,    5.767953E+02,    3.924319E+02,    3.925878E+02,
   CONSTANT HEAD,    0.000000E+00,    0.000000E+00,    0.000000E+00,
   FROM ZONE   0,    0.000000E+00,    0.000000E+00,    0.000000E+00,
   FROM ZONE   1,    0.000000E+00,    3.798716E+03,    4.753578E+02,
   FROM ZONE   2,    3.089214E+03,    0.000000E+00,    1.878622E+03,
   FROM ZONE   3,    4.390682E+02,    1.389018E+03,    0.000000E+00,
Total IN        ,    4.105078E+03,    5.580166E+03,    2.746567E+03,
                ,   OUT          ,   OUT          ,   OUT          ,
         STORAGE,    3.472770E+00,    2.866226E+00,    2.813222E+00,
   CONSTANT HEAD,    7.979125E+02,    6.249913E+02,    9.467243E+02,
     TO ZONE   0,    0.000000E+00,    0.000000E+00,    0.000000E+00,
     TO ZONE   1,    0.000000E+00,    3.089214E+03,    4.390682E+02,
     TO ZONE   2,    3.798716E+03,    0.000000E+00,    1.389018E+03,
     TO ZONE   3,    4.753578E+02,    1.878622E+03,    0.000000E+00,
Total OUT       ,    5.075459E+03,    5.595694E+03,    2.777624E+03,
 IN-OUT         ,   -9.703815E+02,   -1.552781E+01,   -3.105616E+01,
Percent Error   ,   -2.113997E+01,   -2.778813E-01,   -1.124370E+00,
,
Time Step,   1,Stress Period,   4,Sim. Time, 4.000000E+00,Freyberg,
                ,  ZONE   1      ,  ZONE   2      ,  ZONE   3      ,
                ,    IN          ,    IN          ,    IN          ,
         STORAGE,    2.925208E+02,    1.914249E+02,    1.936316E+02,
   CONSTANT HEAD,    0.000000E+00,    0.000000E+00,    0.000000E+00,
   FROM ZONE   0,    0.000000E+00,    0.000000E+00,    0.000000E+00,
   FROM ZONE   1,    0.000000E+00,    4.074374E+03,    4.729362E+02,
   FROM ZONE   2,    2.868554E+03,    0.000000E+00,    2.016545E+03,
   FROM ZONE   3,    4.379886E+02,    1.280902E+03,    0.000000E+00,
Total IN        ,    3.599063E+03,    5.546701E+03,    2.683113E+03,
                ,   OUT          ,   OUT          ,   OUT          ,
         STORAGE,    6.329887E+01,    5.856991E+01,    5.836451E+01,
   CONSTANT HEAD,    7.935104E+02,    6.200879E+02,    9.399871E+02,
     TO ZONE   0,    0.000000E+00,    0.000000E+00,    0.000000E+00,
     TO ZONE   1,    0.000000E+00,    2.868554E+03,    4.379886E+02,
     TO ZONE   2,    4.074374E+03,    0.000000E+00,    1.280902E+03,
     TO ZONE   3,    4.729362E+02,    2.016545E+03,    0.000000E+00,
Total OUT       ,    5.404120E+03,    5.563757E+03,    2.717242E+03,
 IN-OUT         ,   -1.805056E+03,   -1.705617E+01,   -3.412915E+01,
Percent Error   ,   -4.009818E+01,   -3.070291E-01,   -1.263960E+00,
,
Time Step,   1,Stress Period,   5,Sim. Time, 5.000000E+00,Freyberg,
                ,  ZONE   1      ,  ZONE   2      ,  ZONE   3      ,
                ,    IN          ,    IN          ,    IN          ,
         STORAGE,    2.822907E+02,    2.075752E+02,    2.079524E+02,
   CONSTANT HEAD,    0.000000E+00,    0.000000E+00,    0.000000E+00,
   FROM ZONE   0,    0.000000E+00,    0.000000E+00,    0.000000E+00,
   FROM ZONE   1,    0.000000E+00,    5.358385E+03,    4.844294E+02,
   FROM ZONE   2,    3.710667E+03,    0.000000E+00,    2.652740E+03,
   FROM ZONE   3,    4.509519E+02,    1.698699E+03,    0.000000E+00,
Total IN        ,    4.443909E+03,    7.264659E+03,    3.345121E+03,
                ,   OUT          ,   OUT          ,   OUT          ,
         STORAGE,    4.869236E+02,    2.850496E+02,    2.799242E+02,
   CONSTANT HEAD,    8.131696E+02,    6.403120E+02,    9.637667E+02,
     TO ZONE   0,    0.000000E+00,    0.000000E+00,    0.000000E+00,
     TO ZONE   1,    0.000000E+00,    3.710667E+03,    4.509519E+02,
     TO ZONE   2,    5.358385E+03,    0.000000E+00,    1.698699E+03,
     TO ZONE   3,    4.844294E+02,    2.652740E+03,    0.000000E+00,
Total OUT       ,    7.142908E+03,    7.288768E+03,    3.393342E+03,
 IN-OUT         ,   -2.698998E+03,   -2.410858E+01,   -4.822044E+01,
Percent Error   ,   -4.658740E+01,   -3.313113E-01,   -1.431200E+00,
,
Time Step,   1,Stress Period,   6,Sim. Time, 6.000000E+00,Freyberg,
                ,  ZONE   1      ,  ZONE   2      ,  ZONE   3      ,
                ,    IN          ,    IN          ,    IN          ,
         STORAGE,    1.778208E+02,    1.259586E+02,    1.253836E+02,
   CONSTANT HEAD,    0.000000E+00,    0.000000E+00,    0.000000E+00,
   FROM ZONE   0,    0.000000E+00,    0.000000E+00,    0.000000E+00,
   FROM ZONE   1,    0.000000E+00,    4.866245E+03,    4.857487E+02,
   FROM ZONE   2,    3.160136E+03,    0.000000E+00,    2.405122E+03,
   FROM ZONE   3,    4.502596E+02,    1.416989E+03,    0.000000E+00,
Total IN        ,    3.788217E+03,    6.409192E+03,    3.016254E+03,
                ,   OUT          ,   OUT          ,   OUT          ,
         STORAGE,    3.202159E+02,    2.225076E+02,    2.241565E+02,
   CONSTANT HEAD,    8.152547E+02,    6.426954E+02,    9.673865E+02,
     TO ZONE   0,    0.000000E+00,    0.000000E+00,    0.000000E+00,
     TO ZONE   1,    0.000000E+00,    3.160136E+03,    4.502596E+02,
     TO ZONE   2,    4.866245E+03,    0.000000E+00,    1.416989E+03,
     TO ZONE   3,    4.857487E+02,    2.405122E+03,    0.000000E+00,
Total OUT       ,    6.487464E+03,    6.430462E+03,    3.058791E+03,
 IN-OUT         ,   -2.699247E+03,   -2.126930E+01,   -4.253681E+01,
Percent Error   ,   -5.253661E+01,   -3.313065E-01,   -1.400378E+00,
,
Time Step,   1,Stress Period,   7,Sim. Time, 7.000000E+00,Freyberg,
                ,  ZONE   1      ,  ZONE   2      ,  ZONE   3      ,
                ,    IN          ,    IN          ,    IN          ,
         STORAGE,    8.159702E+02,    5.163399E+02,    5.114874E+02,
   CONSTANT HEAD,    0.000000E+00,    0.000000E+00,    0.000000E+00,
   FROM ZONE   0,    0.000000E+00,    0.000000E+00,    0.000000E+00,
   FROM ZONE   1,    0.000000E+00,    3.713863E+03,    4.732745E+02,
   FROM ZONE   2,    3.162247E+03,    0.000000E+00,    1.837965E+03,
   FROM ZONE   3,    4.371551E+02,    1.424822E+03,    0.000000E+00,
Total IN        ,    4.415372E+03,    5.655025E+03,    2.822726E+03,
                ,   OUT          ,   OUT          ,   OUT          ,
         STORAGE,    6.377734E+01,    4.830260E+01,    4.834084E+01,
   CONSTANT HEAD,    7.945540E+02,    6.213788E+02,    9.421461E+02,
     TO ZONE   0,    0.000000E+00,    0.000000E+00,    0.000000E+00,
     TO ZONE   1,    0.000000E+00,    3.162247E+03,    4.371551E+02,
     TO ZONE   2,    3.713863E+03,    0.000000E+00,    1.424822E+03,
     TO ZONE   3,    4.732745E+02,    1.837965E+03,    0.000000E+00,
Total OUT       ,    5.045469E+03,    5.669893E+03,    2.852464E+03,
 IN-OUT         ,   -6.300968E+02,   -1.486782E+01,   -2.973770E+01,
Percent Error   ,   -1.332010E+01,   -2.625684E-01,   -1.047989E+00,
,
Time Step,   1,Stress Period,   8,Sim. Time, 8.000000E+00,Freyberg,
                ,  ZONE   1      ,  ZONE   2      ,  ZONE   3      ,
                ,    IN          ,    IN          ,    IN          ,
         STORAGE,    6.577647E+02,    4.533321E+02,    4.563301E+02,
   CONSTANT HEAD,    0.000000E+00,    0.000000E+00,    0.000000E+00,
   FROM ZONE   0,    0.000000E+00,    0.000000E+00,    0.000000E+00,
   FROM ZONE   1,    0.000000E+00,    4.206715E+03,    4.690551E+02,
   FROM ZONE   2,    3.644455E+03,    0.000000E+00,    2.081833E+03,
   FROM ZONE   3,    4.358783E+02,    1.668326E+03,    0.000000E+00,
Total IN        ,    4.738098E+03,    6.328373E+03,    3.007218E+03,
                ,   OUT          ,   OUT          ,   OUT          ,
         STORAGE,    6.009519E+00,    4.692871E+00,    4.587043E+00,
   CONSTANT HEAD,    7.885091E+02,    6.149463E+02,    9.335202E+02,
     TO ZONE   0,    0.000000E+00,    0.000000E+00,    0.000000E+00,
     TO ZONE   1,    0.000000E+00,    3.644455E+03,    4.358783E+02,
     TO ZONE   2,    4.206715E+03,    0.000000E+00,    1.668326E+03,
     TO ZONE   3,    4.690551E+02,    2.081833E+03,    0.000000E+00,
Total OUT       ,    5.470289E+03,    6.345927E+03,    3.042311E+03,
 IN-OUT         ,   -7.321910E+02,   -1.755415E+01,   -3.509291E+01,
Percent Error   ,   -1.434489E+01,   -2.770038E-01,   -1.160186E+00,
,
Time Step,   1,Stress Period,   9,Sim. Time, 9.000000E+00,Freyberg,
                ,  ZONE   1      ,  ZONE   2      ,  ZONE   3      ,
                ,    IN          ,    IN          ,    IN          ,
         STORAGE,    8.226874E+02,    5.884472E+02,    5.900631E+02,
   CONSTANT HEAD,    0.000000E+00,    0.000000E+00,    0.000000E+00,
   FROM ZONE   0,    0.000000E+00,    0.000000E+00,    0.000000E+00,
   FROM ZONE   1,    0.000000E+00,    4.480096E+03,    4.670915E+02,
   FROM ZONE   2,    4.199939E+03,    0.000000E+00,    2.220951E+03,
   FROM ZONE   3,    4.354233E+02,    1.948473E+03,    0.000000E+00,
Total IN        ,    5.458050E+03,    7.017017E+03,    3.278106E+03,
                ,   OUT          ,   OUT          ,   OUT          ,
         STORAGE,    1.036120E+01,    2.328892E+00,    1.707356E+00,
   CONSTANT HEAD,    7.862837E+02,    6.124427E+02,    9.297898E+02,
     TO ZONE   0,    0.000000E+00,    0.000000E+00,    0.000000E+00,
     TO ZONE   1,    0.000000E+00,    4.199939E+03,    4.354233E+02,
     TO ZONE   2,    4.480096E+03,    0.000000E+00,    1.948473E+03,
     TO ZONE   3,    4.670915E+02,    2.220951E+03,    0.000000E+00,
Total OUT       ,    5.743833E+03,    7.035662E+03,    3.315394E+03,
 IN-OUT         ,   -2.857830E+02,   -1.864500E+01,   -3.728782E+01,
Percent Error   ,   -5.102410E+00,   -2.653587E-01,   -1.131048E+00,
,
Time Step,   1,Stress Period,  10,Sim. Time, 1.000000E+01,Freyberg,
                ,  ZONE   1      ,  ZONE   2      ,  ZONE   3      ,
                ,    IN          ,    IN          ,    IN          ,
         STORAGE,    9.714763E+02,    6.915185E+02,    6.934350E+02,
   CONSTANT HEAD,    0.000000E+00,    0.000000E+00,    0.000000E+00,
   FROM ZONE   0,    0.000000E+00,    0.000000E+00,    0.000000E+00,
   FROM ZONE   1,    0.000000E+00,    4.212737E+03,    4.547416E+02,
   FROM ZONE   2,    3.828564E+03,    0.000000E+00,    2.087574E+03,
   FROM ZONE   3,    4.267506E+02,    1.762856E+03,    0.000000E+00,
Total IN        ,    5.226791E+03,    6.667111E+03,    3.235751E+03,
                ,   OUT          ,   OUT          ,   OUT          ,
         STORAGE,    2.326247E+02,    1.729609E+02,    1.724687E+02,
   CONSTANT HEAD,    7.694658E+02,    5.951230E+02,    9.078955E+02,
     TO ZONE   0,    0.000000E+00,    0.000000E+00,    0.000000E+00,
     TO ZONE   1,    0.000000E+00,    3.828564E+03,    4.267506E+02,
     TO ZONE   2,    4.212737E+03,    0.000000E+00,    1.762856E+03,
     TO ZONE   3,    4.547416E+02,    2.087574E+03,    0.000000E+00,
Total OUT       ,    5.669569E+03,    6.684222E+03,    3.269971E+03,
 IN-OUT         ,   -4.427781E+02,   -1.711064E+01,   -3.422000E+01,
Percent Error   ,   -8.127083E+00,   -2.563135E-01,   -1.051997E+00,
,
Time Step,   1,Stress Period,  11,Sim. Time, 1.100000E+01,Freyberg,
                ,  ZONE   1      ,  ZONE   2      ,  ZONE   3      ,
                ,    IN          ,    IN          ,    IN          ,
         STORAGE,    1.081920E+03,    7.035708E+02,    7.059345E+02,
   CONSTANT HEAD,    0.000000E+00,    0.000000E+00,    0.000000E+00,
   FROM ZONE   0,    0.000000E+00,    0.000000E+00,    0.000000E+00,
   FROM ZONE   1,    0.000000E+00,    3.825193E+03,    4.375902E+02,
   FROM ZONE   2,    3.314769E+03,    0.000000E+00,    1.896314E+03,
   FROM ZONE   3,    4.140445E+02,    1.509042E+03,    0.000000E+00,
Total IN        ,    4.810733E+03,    6.037806E+03,    3.039838E+03,
                ,   OUT          ,   OUT          ,   OUT          ,
         STORAGE,    3.280317E+02,    2.734736E+02,    2.729486E+02,
   CONSTANT HEAD,    7.436834E+02,    5.682441E+02,    8.738310E+02,
     TO ZONE   0,    0.000000E+00,    0.000000E+00,    0.000000E+00,
     TO ZONE   1,    0.000000E+00,    3.314769E+03,    4.140445E+02,
     TO ZONE   2,    3.825193E+03,    0.000000E+00,    1.509042E+03,
     TO ZONE   3,    4.375902E+02,    1.896314E+03,    0.000000E+00,
Total OUT       ,    5.334498E+03,    6.052800E+03,    3.069866E+03,
 IN-OUT         ,   -5.237658E+02,   -1.499452E+01,   -3.002715E+01,
Percent Error   ,   -1.032536E+01,   -2.480358E-01,   -9.829329E-01,
,
Time Step,   1,Stress Period,  12,Sim. Time, 1.200000E+01,Freyberg,
                ,  ZONE   1      ,  ZONE   2      ,  ZONE   3      ,
                ,    IN          ,    IN          ,    IN          ,
         STORAGE,    4.758101E+02,    2.484187E+02,    2.492321E+02,
   CONSTANT HEAD,    0.000000E+00,    0.000000E+00,    0.000000E+00,
   FROM ZONE   0,    0.000000E+00,    0.000000E+00,    0.000000E+00,
   FROM ZONE   1,    0.000000E+00,    3.800839E+03,    4.351957E+02,
   FROM ZONE   2,    1.963599E+03,    0.000000E+00,    1.882224E+03,
   FROM ZONE   3,    4.117412E+02,    8.325181E+02,    0.000000E+00,
Total IN        ,    2.851151E+03,    4.881776E+03,    2.566652E+03,
                ,   OUT          ,   OUT          ,   OUT          ,
         STORAGE,    6.187038E+02,    4.904918E+02,    4.896862E+02,
   CONSTANT HEAD,    7.375273E+02,    5.608218E+02,    8.634274E+02,
     TO ZONE   0,    0.000000E+00,    0.000000E+00,    0.000000E+00,
     TO ZONE   1,    0.000000E+00,    1.963599E+03,    4.117412E+02,
     TO ZONE   2,    3.800839E+03,    0.000000E+00,    8.325181E+02,
     TO ZONE   3,    4.351957E+02,    1.882224E+03,    0.000000E+00,
Total OUT       ,    5.592266E+03,    4.897137E+03,    2.597373E+03,
 IN-OUT         ,   -2.741115E+03,   -1.536172E+01,   -3.072076E+01,
Percent Error   ,   -6.492904E+01,   -3.141806E-01,   -1.189799E+00,
,
Time Step,   1,Stress Period,  13,Sim. Time, 1.300000E+01,Freyberg,
                ,  ZONE   1      ,  ZONE   2      ,  ZONE   3      ,
                ,    IN          ,    IN          ,    IN          ,
         STORAGE,    1.429508E+03,    8.940195E+02,    8.908782E+02,
   CONSTANT HEAD,    0.000000E+00,    0.000000E+00,    0.000000E+00,
   FROM ZONE   0,    0.000000E+00,    0.000000E+00,    0.000000E+00,
   FROM ZONE   1,    0.000000E+00,    3.533360E+03,    4.377424E+02,
   FROM ZONE   2,    3.646740E+03,    0.000000E+00,    1.751864E+03,
   FROM ZONE   3,    4.116988E+02,    1.675363E+03,    0.000000E+00,
Total IN        ,    5.487947E+03,    6.102742E+03,    3.080485E+03,
                ,   OUT          ,   OUT          ,   OUT          ,
         STORAGE,    1.777012E+02,    1.564044E+02,    1.572432E+02,
   CONSTANT HEAD,    7.391634E+02,    5.613562E+02,    8.634261E+02,
     TO ZONE   0,    0.000000E+00,    0.000000E+00,    0.000000E+00,
     TO ZONE   1,    0.000000E+00,    3.646740E+03,    4.116988E+02,
     TO ZONE   2,    3.533360E+03,    0.000000E+00,    1.675363E+03,
     TO ZONE   3,    4.377424E+02,    1.751864E+03,    0.000000E+00,
Total OUT       ,    4.887967E+03,    6.116365E+03,    3.107731E+03,
 IN-OUT         ,    5.999806E+02,   -1.362270E+01,   -2.724631E+01,
Percent Error   ,    1.156487E+01,   -2.229738E-01,   -8.805868E-01,
,
Time Step,   1,Stress Period,  14,Sim. Time, 1.400000E+01,Freyberg,
                ,  ZONE   1      ,  ZONE   2      ,  ZONE   3      ,
                ,    IN          ,    IN          ,    IN          ,
         STORAGE,    6.898123E+02,    3.508297E+02,    3.514806E+02,
   CONSTANT HEAD,    0.000000E+00,    0.000000E+00,    0.000000E+00,
   FROM ZONE   0,    0.000000E+00,    0.000000E+00,    0.000000E+00,
   FROM ZONE   1,    0.000000E+00,    3.671764E+03,    4.444104E+02,
   FROM ZONE   2,    2.345522E+03,    0.000000E+00,    1.816462E+03,
   FROM ZONE   3,    4.168630E+02,    1.022067E+03,    0.000000E+00,
Total IN        ,    3.452197E+03,    5.044661E+03,    2.612353E+03,
                ,   OUT          ,   OUT          ,   OUT          ,
         STORAGE,    4.086044E+02,    3.262671E+02,    3.278049E+02,
   CONSTANT HEAD,    7.492487E+02,    5.710334E+02,    8.748637E+02,
     TO ZONE   0,    0.000000E+00,    0.000000E+00,    0.000000E+00,
     TO ZONE   1,    0.000000E+00,    2.345522E+03,    4.168630E+02,
     TO ZONE   2,    3.671764E+03,    0.000000E+00,    1.022067E+03,
     TO ZONE   3,    4.444104E+02,    1.816462E+03,    0.000000E+00,
Total OUT       ,    5.274027E+03,    5.059284E+03,    2.641598E+03,
 IN-OUT         ,   -1.821830E+03,   -1.462313E+01,   -2.924594E+01,
Percent Error   ,   -4.175530E+01,   -2.894540E-01,   -1.113293E+00,
,
Time Step,   1,Stress Period,  15,Sim. Time, 1.500000E+01,Freyberg,
                ,  ZONE   1      ,  ZONE   2      ,  ZONE   3      ,
                ,    IN          ,    IN          ,    IN          ,
         STORAGE,    4.874915E+02,    2.404651E+02,    2.418965E+02,
   CONSTANT HEAD,    0.000000E+00,    0.000000E+00,    0.000000E+00,
   FROM ZONE   0,    0.000000E+00,    0.000000E+00,    0.000000E+00,
   FROM ZONE   1,    0.000000E+00,    3.842041E+03,    4.504061E+02,
   FROM ZONE   2,    2.264172E+03,    0.000000E+00,    1.901498E+03,
