Time Step,   1,Stress Period,1097,Sim. Time, 1.097000E+03,,
                ,  ZONE   1      ,  ZONE   2      ,  ZONE   3      ,
                ,    IN          ,    IN          ,    IN          ,
   CONSTANT HEAD,    0.000000E+00,    0.000000E+00,    8.614904E+01,
           WELLS,    0.000000E+00,    0.000000E+00,    0.000000E+00,
        RECHARGE,    1.306933E+03,    1.299465E+03,    1.277060E+03,
   FROM ZONE   0,    4.802645E+03,    3.535905E+03,    3.882709E+03,
   FROM ZONE   1,    0.000000E+00,    3.485947E+03,    3.202062E+03,
   FROM ZONE   2,    3.823094E+03,    0.000000E+00,    2.978464E+03,
   FROM ZONE   3,    3.579749E+03,    3.084417E+03,    0.000000E+00,
Total IN        ,    1.351242E+04,    1.140573E+04,    1.142644E+04,
                ,   OUT          ,   OUT          ,   OUT          ,
   CONSTANT HEAD,    1.015419E+02,    2.324631E+02,    2.043376E+02,
           WELLS,    2.656800E+03,    0.000000E+00,    0.000000E+00,
        RECHARGE,    0.000000E+00,    0.000000E+00,    0.000000E+00,
     TO ZONE   0,    4.066082E+03,    4.371712E+03,    4.557932E+03,
     TO ZONE   1,    0.000000E+00,    3.823094E+03,    3.579749E+03,
     TO ZONE   2,    3.485947E+03,    0.000000E+00,    3.084417E+03,
     TO ZONE   3,    3.202062E+03,    2.978464E+03,    0.000000E+00,
Total OUT       ,    1.351243E+04,    1.140573E+04,    1.142644E+04,
 IN-OUT         ,   -1.238740E-02,    1.146679E-03,    8.515302E-03,
Percent Error   ,   -9.167415E-05,    1.005353E-05,    7.452280E-05,
,
