Time Step,   1,Stress Period,   1,Sim. Time, 1.000000E+01,,
                ,  ZONE   1      ,  ZONE   2      ,  ZONE   3      ,
                ,    IN          ,    IN          ,    IN          ,
   CONSTANT HEAD,    0.000000E+00,    0.000000E+00,    0.000000E+00,
           WELLS,    0.000000E+00,    0.000000E+00,    0.000000E+00,
   RIVER LEAKAGE,    4.194190E-03,    0.000000E+00,    0.000000E+00,
        RECHARGE,    1.970000E-02,    1.460000E-02,    1.680000E-02,
   FROM ZONE   0,    3.600075E-02,    3.503814E-02,    3.750513E-02,
   FROM ZONE   1,    0.000000E+00,    2.955931E-02,    4.451611E-02,
   FROM ZONE   2,    2.813982E-02,    0.000000E+00,    2.709453E-02,
   FROM ZONE   3,    4.001517E-02,    1.918741E-02,    0.000000E+00,
Total IN        ,    1.280499E-01,    9.838486E-02,    1.259158E-01,
                ,   OUT          ,   OUT          ,   OUT          ,
   CONSTANT HEAD,    2.908484E-03,    6.519382E-04,    7.445060E-04,
           WELLS,    0.000000E+00,    4.300000E-03,    1.775000E-02,
   RIVER LEAKAGE,    1.465203E-02,    1.016300E-02,    1.201904E-02,
        RECHARGE,    0.000000E+00,    0.000000E+00,    0.000000E+00,
     TO ZONE   0,    3.641424E-02,    2.803571E-02,    3.619980E-02,
     TO ZONE   1,    0.000000E+00,    2.813982E-02,    4.001517E-02,
     TO ZONE   2,    2.955931E-02,    0.000000E+00,    1.918741E-02,
     TO ZONE   3,    4.451611E-02,    2.709453E-02,    0.000000E+00,
Total OUT       ,    1.280502E-01,    9.838500E-02,    1.259159E-01,
 IN-OUT         ,   -2.355989E-07,   -1.347317E-07,   -1.505664E-07,
Percent Error   ,   -1.839897E-04,   -1.369435E-04,   -1.195770E-04,
,
