Sim. Time, 10.0
 ,ZONE 1,ZONE 2,ZONE 3,ZONE 4
 ,IN,IN,IN,IN
CONSTANT HEAD,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
WELLS,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
RIVER LEAKAGE,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,4.1941902600228786e-03
RECHARGE,1.3900000660214573e-02,1.3400000636465847e-02,1.4500000688713044e-02,1.3300000631716102e-02
FROM ZONE 0,2.4912316584959626e-02,1.7028911155648530e-02,2.4217444937676191e-02,2.3363021318800747e-02
FROM ZONE 1,0.0000000000000000e+00,2.0641377195715904e-02,2.0695151994004846e-02,2.2208079928532243e-02
FROM ZONE 2,1.7016813741065562e-02,0.0000000000000000e+00,2.4847065680660307e-02,1.6723865875974298e-02
FROM ZONE 3,2.1825514500960708e-02,2.1687093656510115e-02,0.0000000000000000e+00,1.6936141182668507e-02
FROM ZONE 4,1.6541295335628092e-02,2.0849633961915970e-02,2.5224178330972791e-02,0.0000000000000000e+00
Total IN,9.4195940822828561e-02,9.3607016606256366e-02,1.0948384163202718e-01,9.6725299197714776e-02
 ,OUT,OUT,OUT,OUT
CONSTANT HEAD,6.3934654463082552e-04,3.8949464214965701e-04,8.5248041432350874e-04,1.6533914385945536e-03
WELLS,4.1000000201165676e-03,4.3000001460313797e-03,1.2099999934434891e-02,7.2000001091510057e-04
RIVER LEAKAGE,7.0394194335676730e-03,9.7213168410235085e-03,1.1979577073361725e-02,1.1500446678837761e-02
RECHARGE,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
TO ZONE 0,1.8872664775699377e-02,2.0608614115189994e-02,2.4103181611280888e-02,2.0236522308550775e-02
TO ZONE 1,0.0000000000000000e+00,1.7016813741065562e-02,2.1825514500960708e-02,1.6541295335628092e-02
TO ZONE 2,2.0641377195715904e-02,0.0000000000000000e+00,2.1687093656510115e-02,2.0849633961915970e-02
TO ZONE 3,2.0695151994004846e-02,2.4847065680660307e-02,0.0000000000000000e+00,2.5224178330972791e-02
TO ZONE 4,2.2208079928532243e-02,1.6723865875974298e-02,1.6936141182668507e-02,0.0000000000000000e+00
Total OUT,9.4196039892267436e-02,9.3607171042094706e-02,1.0948398837354034e-01,9.6725468065415043e-02
IN-OUT,-9.9069438874721527e-08,-1.5443583833985031e-07,-1.4674151316285133e-07,-1.6886770026758313e-07
Percent Error,-1.0517373244728885e-04,-1.6498304992774467e-04,-1.3403020266412673e-04,-1.7458467873419283e-04
