flow_dir,record,ZONE 1,ZONE 2,ZONE 3,ZONE 4,ZONE 5
IN,CONSTANT HEAD,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
IN,WELLS,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
IN,RIVER LEAKAGE,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,4.1941902600228786e-03
IN,RECHARGE,1.3600000645965338e-02,1.2900000612717122e-02,1.2600000598467886e-02,1.4900000707712024e-02,1.5500000736210495e-02
IN,FROM ZONE 1,0.0000000000000000e+00,1.7364170751534402e-02,2.0502548315562308e-02,1.7723480152199045e-02,2.5380416889674962e-02
IN,FROM ZONE 2,1.4294903026893735e-02,0.0000000000000000e+00,1.8094233353622258e-02,1.9601160602178425e-02,2.2763079847209156e-02
IN,FROM ZONE 3,2.3557384032756090e-02,1.0733004895882914e-02,0.0000000000000000e+00,1.8176881625549868e-02,2.0824195409659296e-02
IN,FROM ZONE 4,1.9063438405282795e-02,2.0142107910942286e-02,1.8680429377127439e-02,0.0000000000000000e+00,2.7287532870104769e-02
IN,FROM ZONE 5,2.4890558212064207e-02,2.2112684557214379e-02,2.1789096528664231e-02,2.4435295956209302e-02,0.0000000000000000e+00
 ,Total IN,9.5406284322962165e-02,8.3251968728291104e-02,9.1666308173444122e-02,9.4836819043848664e-02,1.1594941601288156e-01
OUT,CONSTANT HEAD,1.0426398184790742e-03,2.0560034026857466e-03,0.0000000000000000e+00,0.0000000000000000e+00,1.6366383715649135e-03
OUT,WELLS,4.3000001460313797e-03,1.5499999863095582e-03,4.1000000201165676e-03,3.8999998942017555e-03,8.2000000402331352e-03
OUT,RIVER LEAKAGE,9.0931415907107294e-03,4.8926796298474073e-03,1.4274988207034767e-02,5.7634211916592903e-03,1.2885329429991543e-02
OUT,RECHARGE,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
OUT,TO ZONE 1,0.0000000000000000e+00,1.4294903026893735e-02,2.3557384032756090e-02,1.9063438405282795e-02,2.4890558212064207e-02
OUT,TO ZONE 2,1.7364170751534402e-02,0.0000000000000000e+00,1.0733004895882914e-02,2.0142107910942286e-02,2.2112684557214379e-02
OUT,TO ZONE 3,2.0502548315562308e-02,1.8094233353622258e-02,0.0000000000000000e+00,1.8680429377127439e-02,2.1789096528664231e-02
OUT,TO ZONE 4,1.7723480152199045e-02,1.9601160602178425e-02,1.8176881625549868e-02,0.0000000000000000e+00,2.4435295956209302e-02
OUT,TO ZONE 5,2.5380416889674962e-02,2.2763079847209156e-02,2.0824195409659296e-02,2.7287532870104769e-02,0.0000000000000000e+00
 ,Total OUT,9.5406397664191900e-02,8.3252059848746285e-02,9.1666454190999502e-02,9.4836929649318336e-02,1.1594960309594171e-01
 ,IN-OUT,-1.1334122973494232e-07,-9.1120455181226134e-08,-1.4601755538024008e-07,-1.1060546967200935e-07,-1.8708306015469134e-07
 ,Percent Error,-1.1879842424999058e-04,-1.0945135197022203e-04,-1.5929237469293638e-04,-1.1662707194229025e-04,-1.6134872917845233e-04
