Time Step,   1,Stress Period,   1,Sim. Time, 1.000000E+00,,
                ,  ZONE   1      ,  ZONE   2      ,  ZONE   3      ,
                ,    IN          ,    IN          ,    IN          ,
   CONSTANT HEAD,    0.000000E+00,    0.000000E+00,    0.000000E+00,
           WELLS,    0.000000E+00,    0.000000E+00,    0.000000E+00,
          DRAINS,    0.000000E+00,    0.000000E+00,    0.000000E+00,
        RECHARGE,    1.580505E+03,    1.571473E+03,    1.544379E+03,
   FROM ZONE   0,    5.015634E+03,    4.927762E+03,    5.669922E+03,
   FROM ZONE   1,    0.000000E+00,    4.729203E+03,    4.317228E+03,
   FROM ZONE   2,    4.680233E+03,    0.000000E+00,    3.946302E+03,
   FROM ZONE   3,    4.656075E+03,    4.479743E+03,    0.000000E+00,
Total IN        ,    1.593245E+04,    1.570818E+04,    1.547783E+04,
                ,   OUT          ,   OUT          ,   OUT          ,
   CONSTANT HEAD,    3.814954E+02,    7.401241E+02,    6.427462E+02,
           WELLS,    0.000000E+00,    0.000000E+00,    0.000000E+00,
          DRAINS,    9.337631E+02,    1.206981E+03,    6.188325E+02,
        RECHARGE,    0.000000E+00,    0.000000E+00,    0.000000E+00,
     TO ZONE   0,    5.571282E+03,    5.134705E+03,    5.081259E+03,
     TO ZONE   1,    0.000000E+00,    4.680233E+03,    4.656075E+03,
     TO ZONE   2,    4.729203E+03,    0.000000E+00,    4.479743E+03,
     TO ZONE   3,    4.317228E+03,    3.946302E+03,    0.000000E+00,
Total OUT       ,    1.593297E+04,    1.570835E+04,    1.547866E+04,
 IN-OUT         ,   -5.253994E-01,   -1.650885E-01,   -8.235625E-01,
Percent Error   ,   -3.297615E-03,   -1.050966E-03,   -5.320775E-03,
,
Time Step,   1,Stress Period,   2,Sim. Time, 2.000000E+00,,
                ,  ZONE   1      ,  ZONE   2      ,  ZONE   3      ,
                ,    IN          ,    IN          ,    IN          ,
         STORAGE,    1.656961E+02,    1.445941E+02,    1.491632E+02,
   CONSTANT HEAD,    0.000000E+00,    0.000000E+00,    0.000000E+00,
           WELLS,    0.000000E+00,    0.000000E+00,    0.000000E+00,
          DRAINS,    0.000000E+00,    0.000000E+00,    0.000000E+00,
        RECHARGE,    1.618611E+03,    1.609362E+03,    1.581614E+03,
   FROM ZONE   0,    5.115911E+03,    4.838846E+03,    5.780525E+03,
   FROM ZONE   1,    0.000000E+00,    4.869751E+03,    4.342473E+03,
   FROM ZONE   2,    4.751277E+03,    0.000000E+00,    4.043374E+03,
   FROM ZONE   3,    4.768334E+03,    4.501849E+03,    0.000000E+00,
Total IN        ,    1.641983E+04,    1.596440E+04,    1.589715E+04,
                ,   OUT          ,   OUT          ,   OUT          ,
         STORAGE,    7.524913E+00,    7.401145E+00,    8.932048E+00,
   CONSTANT HEAD,    3.785422E+02,    7.358273E+02,    6.382845E+02,
           WELLS,    2.766069E+02,    0.000000E+00,    0.000000E+00,
          DRAINS,    8.981619E+02,    9.002199E+02,    5.598393E+02,
        RECHARGE,    0.000000E+00,    0.000000E+00,    0.000000E+00,
     TO ZONE   0,    5.646761E+03,    5.526955E+03,    5.419898E+03,
     TO ZONE   1,    0.000000E+00,    4.751277E+03,    4.768334E+03,
     TO ZONE   2,    4.869751E+03,    0.000000E+00,    4.501849E+03,
     TO ZONE   3,    4.342473E+03,    4.043374E+03,    0.000000E+00,
Total OUT       ,    1.641982E+04,    1.596505E+04,    1.589714E+04,
 IN-OUT         ,    8.362350E-03,   -6.518802E-01,    1.291624E-02,
Percent Error   ,    5.092837E-05,   -4.083253E-03,    8.124882E-05,
,
Time Step,   1,Stress Period,   3,Sim. Time, 3.000000E+00,,
                ,  ZONE   1      ,  ZONE   2      ,  ZONE   3      ,
                ,    IN          ,    IN          ,    IN          ,
         STORAGE,    3.729663E+02,    3.068232E+02,    3.388035E+02,
   CONSTANT HEAD,    0.000000E+00,    0.000000E+00,    0.000000E+00,
           WELLS,    0.000000E+00,    0.000000E+00,    0.000000E+00,
          DRAINS,    0.000000E+00,    0.000000E+00,    0.000000E+00,
        RECHARGE,    1.359031E+03,    1.351265E+03,    1.327968E+03,
   FROM ZONE   0,    5.322849E+03,    4.895411E+03,    5.635789E+03,
   FROM ZONE   1,    0.000000E+00,    4.875543E+03,    4.344668E+03,
   FROM ZONE   2,    4.853581E+03,    0.000000E+00,    3.937022E+03,
   FROM ZONE   3,    4.871779E+03,    4.462769E+03,    0.000000E+00,
Total IN        ,    1.678021E+04,    1.589181E+04,    1.558425E+04,
                ,   OUT          ,   OUT          ,   OUT          ,
         STORAGE,    6.530625E-01,    8.842905E-01,    3.769091E+00,
   CONSTANT HEAD,    3.686122E+02,    7.198423E+02,    6.216828E+02,
           WELLS,    6.257349E+02,    0.000000E+00,    0.000000E+00,
          DRAINS,    7.973990E+02,    7.647364E+02,    3.997231E+02,
        RECHARGE,    0.000000E+00,    0.000000E+00,    0.000000E+00,
     TO ZONE   0,    5.767548E+03,    5.615352E+03,    5.224495E+03,
     TO ZONE   1,    0.000000E+00,    4.853581E+03,    4.871779E+03,
     TO ZONE   2,    4.875543E+03,    0.000000E+00,    4.462769E+03,
     TO ZONE   3,    4.344668E+03,    3.937022E+03,    0.000000E+00,
Total OUT       ,    1.678016E+04,    1.589142E+04,    1.558422E+04,
 IN-OUT         ,    4.953825E-02,    3.925179E-01,    3.128393E-02,
Percent Error   ,    2.952188E-04,    2.469969E-03,    2.007409E-04,
,
Time Step,   1,Stress Period,   4,Sim. Time, 4.000000E+00,,
                ,  ZONE   1      ,  ZONE   2      ,  ZONE   3      ,
                ,    IN          ,    IN          ,    IN          ,
         STORAGE,    1.907825E+02,    1.422832E+02,    1.687380E+02,
   CONSTANT HEAD,    0.000000E+00,    0.000000E+00,    0.000000E+00,
           WELLS,    0.000000E+00,    0.000000E+00,    0.000000E+00,
          DRAINS,    0.000000E+00,    0.000000E+00,    0.000000E+00,
        RECHARGE,    1.493512E+03,    1.484978E+03,    1.459375E+03,
   FROM ZONE   0,    5.679715E+03,    5.007313E+03,    5.654881E+03,
   FROM ZONE   1,    0.000000E+00,    4.698084E+03,    4.351501E+03,
   FROM ZONE   2,    4.978215E+03,    0.000000E+00,    3.863695E+03,
   FROM ZONE   3,    4.979761E+03,    4.407303E+03,    0.000000E+00,
Total IN        ,    1.732199E+04,    1.573996E+04,    1.549819E+04,
                ,   OUT          ,   OUT          ,   OUT          ,
         STORAGE,    4.762152E+01,    4.427574E+01,    3.490872E+01,
   CONSTANT HEAD,    3.659536E+02,    7.154821E+02,    6.167521E+02,
           WELLS,    1.171813E+03,    0.000000E+00,    0.000000E+00,
          DRAINS,    7.530255E+02,    7.799581E+02,    2.707474E+02,
        RECHARGE,    0.000000E+00,    0.000000E+00,    0.000000E+00,
     TO ZONE   0,    5.934003E+03,    5.358561E+03,    5.188659E+03,
     TO ZONE   1,    0.000000E+00,    4.978215E+03,    4.979761E+03,
     TO ZONE   2,    4.698084E+03,    0.000000E+00,    4.407303E+03,
     TO ZONE   3,    4.351501E+03,    3.863695E+03,    0.000000E+00,
Total OUT       ,    1.732200E+04,    1.574019E+04,    1.549813E+04,
 IN-OUT         ,   -1.595808E-02,   -2.256339E-01,    5.852912E-02,
Percent Error   ,   -9.212610E-05,   -1.433499E-03,    3.776520E-04,
,
Time Step,   1,Stress Period,   5,Sim. Time, 5.000000E+00,,
                ,  ZONE   1      ,  ZONE   2      ,  ZONE   3      ,
                ,    IN          ,    IN          ,    IN          ,
         STORAGE,    1.871313E+02,    1.572877E+02,    1.550048E+02,
   CONSTANT HEAD,    0.000000E+00,    0.000000E+00,    0.000000E+00,
           WELLS,    0.000000E+00,    0.000000E+00,    0.000000E+00,
          DRAINS,    0.000000E+00,    0.000000E+00,    0.000000E+00,
        RECHARGE,    2.109712E+03,    2.097657E+03,    2.061490E+03,
   FROM ZONE   0,    6.564984E+03,    5.164886E+03,    5.965899E+03,
   FROM ZONE   1,    0.000000E+00,    4.955455E+03,    4.632702E+03,
   FROM ZONE   2,    5.408116E+03,    0.000000E+00,    4.006071E+03,
   FROM ZONE   3,    5.509246E+03,    4.509786E+03,    0.000000E+00,
Total IN        ,    1.977919E+04,    1.688507E+04,    1.682117E+04,
                ,   OUT          ,   OUT          ,   OUT          ,
         STORAGE,    2.651477E+02,    2.440181E+02,    2.758404E+02,
   CONSTANT HEAD,    3.756378E+02,    7.319144E+02,    6.333924E+02,
           WELLS,    2.618937E+03,    0.000000E+00,    0.000000E+00,
          DRAINS,    5.888028E+02,    8.621208E+02,    2.808635E+02,
        RECHARGE,    0.000000E+00,    0.000000E+00,    0.000000E+00,
     TO ZONE   0,    6.342461E+03,    5.632954E+03,    5.612128E+03,
     TO ZONE   1,    0.000000E+00,    5.408116E+03,    5.509246E+03,
     TO ZONE   2,    4.955455E+03,    0.000000E+00,    4.509786E+03,
     TO ZONE   3,    4.632702E+03,    4.006071E+03,    0.000000E+00,
Total OUT       ,    1.977914E+04,    1.688520E+04,    1.682126E+04,
 IN-OUT         ,    4.696082E-02,   -1.242085E-01,   -8.937589E-02,
Percent Error   ,    2.374257E-04,   -7.356089E-04,   -5.313285E-04,
,
Time Step,   1,Stress Period,   6,Sim. Time, 6.000000E+00,,
                ,  ZONE   1      ,  ZONE   2      ,  ZONE   3      ,
                ,    IN          ,    IN          ,    IN          ,
         STORAGE,    9.852690E+01,    9.701389E+01,    1.131010E+02,
   CONSTANT HEAD,    0.000000E+00,    0.000000E+00,    0.000000E+00,
           WELLS,    0.000000E+00,    0.000000E+00,    0.000000E+00,
          DRAINS,    0.000000E+00,    0.000000E+00,    0.000000E+00,
        RECHARGE,    1.860879E+03,    1.850245E+03,    1.818344E+03,
   FROM ZONE   0,    5.368463E+03,    4.843138E+03,    5.897547E+03,
   FROM ZONE   1,    0.000000E+00,    4.802855E+03,    4.441185E+03,
   FROM ZONE   2,    4.933566E+03,    0.000000E+00,    4.019088E+03,
   FROM ZONE   3,    4.958682E+03,    4.451952E+03,    0.000000E+00,
Total IN        ,    1.722012E+04,    1.604520E+04,    1.628927E+04,
                ,   OUT          ,   OUT          ,   OUT          ,
         STORAGE,    2.046740E+02,    1.655094E+02,    1.816880E+02,
   CONSTANT HEAD,    3.771209E+02,    7.342024E+02,    6.361123E+02,
           WELLS,    8.720840E+02,    0.000000E+00,    0.000000E+00,
          DRAINS,    7.559506E+02,    6.403718E+02,    3.413528E+02,
        RECHARGE,    0.000000E+00,    0.000000E+00,    0.000000E+00,
     TO ZONE   0,    5.766530E+03,    5.552447E+03,    5.719537E+03,
     TO ZONE   1,    0.000000E+00,    4.933566E+03,    4.958682E+03,
     TO ZONE   2,    4.802855E+03,    0.000000E+00,    4.451952E+03,
     TO ZONE   3,    4.441185E+03,    4.019088E+03,    0.000000E+00,
Total OUT       ,    1.722040E+04,    1.604519E+04,    1.628932E+04,
 IN-OUT         ,   -2.830585E-01,    1.913252E-02,   -5.725210E-02,
Percent Error   ,   -1.643753E-03,    1.192414E-04,   -3.514707E-04,
,
Time Step,   1,Stress Period,   7,Sim. Time, 7.000000E+00,,
                ,  ZONE   1      ,  ZONE   2      ,  ZONE   3      ,
                ,    IN          ,    IN          ,    IN          ,
         STORAGE,    4.796499E+02,    4.198721E+02,    4.850372E+02,
   CONSTANT HEAD,    0.000000E+00,    0.000000E+00,    0.000000E+00,
           WELLS,    0.000000E+00,    0.000000E+00,    0.000000E+00,
          DRAINS,    0.000000E+00,    0.000000E+00,    0.000000E+00,
        RECHARGE,    1.301510E+03,    1.294073E+03,    1.271761E+03,
   FROM ZONE   0,    5.085753E+03,    4.812425E+03,    5.820000E+03,
   FROM ZONE   1,    0.000000E+00,    4.808136E+03,    4.350599E+03,
   FROM ZONE   2,    4.774901E+03,    0.000000E+00,    3.982988E+03,
   FROM ZONE   3,    4.760026E+03,    4.463657E+03,    0.000000E+00,
Total IN        ,    1.640184E+04,    1.579816E+04,    1.591039E+04,
                ,   OUT          ,   OUT          ,   OUT          ,
         STORAGE,    4.511838E+01,    3.346589E+01,    3.284682E+01,
   CONSTANT HEAD,    3.667716E+02,    7.167976E+02,    6.184171E+02,
           WELLS,    4.341227E+02,    0.000000E+00,    0.000000E+00,
          DRAINS,    6.871459E+02,    5.395524E+02,    3.194953E+02,
        RECHARGE,    0.000000E+00,    0.000000E+00,    0.000000E+00,
     TO ZONE   0,    5.709940E+03,    5.750442E+03,    5.715957E+03,
     TO ZONE   1,    0.000000E+00,    4.774901E+03,    4.760026E+03,
     TO ZONE   2,    4.808136E+03,    0.000000E+00,    4.463657E+03,
     TO ZONE   3,    4.350599E+03,    3.982988E+03,    0.000000E+00,
Total OUT       ,    1.640183E+04,    1.579815E+04,    1.591040E+04,
 IN-OUT         ,    6.879394E-03,    1.537865E-02,   -1.348708E-02,
Percent Error   ,    4.194282E-05,    9.734457E-05,   -8.476901E-05,
,
Time Step,   1,Stress Period,   8,Sim. Time, 8.000000E+00,,
                ,  ZONE   1      ,  ZONE   2      ,  ZONE   3      ,
                ,    IN          ,    IN          ,    IN          ,
         STORAGE,    4.372957E+02,    3.334044E+02,    3.954590E+02,
   CONSTANT HEAD,    0.000000E+00,    0.000000E+00,    0.000000E+00,
           WELLS,    0.000000E+00,    0.000000E+00,    0.000000E+00,
          DRAINS,    0.000000E+00,    0.000000E+00,    0.000000E+00,
        RECHARGE,    1.535592E+03,    1.526817E+03,    1.500493E+03,
   FROM ZONE   0,    6.491984E+03,    5.132445E+03,    6.057926E+03,
   FROM ZONE   1,    0.000000E+00,    4.945478E+03,    4.607663E+03,
   FROM ZONE   2,    5.289989E+03,    0.000000E+00,    4.080609E+03,
   FROM ZONE   3,    5.431249E+03,    4.507420E+03,    0.000000E+00,
Total IN        ,    1.918611E+04,    1.644557E+04,    1.664215E+04,
                ,   OUT          ,   OUT          ,   OUT          ,
         STORAGE,    3.400587E+00,    2.884095E+00,    2.317235E+00,
   CONSTANT HEAD,    3.631107E+02,    7.110760E+02,    6.121394E+02,
           WELLS,    2.267268E+03,    0.000000E+00,    0.000000E+00,
          DRAINS,    4.799436E+02,    4.647155E+02,    8.245133E+01,
        RECHARGE,    0.000000E+00,    0.000000E+00,    0.000000E+00,
     TO ZONE   0,    6.519140E+03,    5.896289E+03,    6.006662E+03,
     TO ZONE   1,    0.000000E+00,    5.289989E+03,    5.431249E+03,
     TO ZONE   2,    4.945478E+03,    0.000000E+00,    4.507420E+03,
     TO ZONE   3,    4.607663E+03,    4.080609E+03,    0.000000E+00,
Total OUT       ,    1.918600E+04,    1.644556E+04,    1.664224E+04,
 IN-OUT         ,    1.052658E-01,    2.987962E-03,   -8.915552E-02,
Percent Error   ,    5.486580E-04,    1.816880E-05,   -5.357197E-04,
,
Time Step,   1,Stress Period,   9,Sim. Time, 9.000000E+00,,
                ,  ZONE   1      ,  ZONE   2      ,  ZONE   3      ,
                ,    IN          ,    IN          ,    IN          ,
         STORAGE,    4.376658E+02,    4.736846E+02,    5.304764E+02,
   CONSTANT HEAD,    0.000000E+00,    0.000000E+00,    0.000000E+00,
           WELLS,    0.000000E+00,    0.000000E+00,    0.000000E+00,
          DRAINS,    0.000000E+00,    0.000000E+00,    0.000000E+00,
        RECHARGE,    1.631347E+03,    1.622025E+03,    1.594059E+03,
   FROM ZONE   0,    6.528672E+03,    5.528559E+03,    6.761735E+03,
   FROM ZONE   1,    0.000000E+00,    5.174633E+03,    4.756061E+03,
   FROM ZONE   2,    5.432547E+03,    0.000000E+00,    4.499267E+03,
   FROM ZONE   3,    5.462705E+03,    4.756468E+03,    0.000000E+00,
Total IN        ,    1.949294E+04,    1.755537E+04,    1.814160E+04,
                ,   OUT          ,   OUT          ,   OUT          ,
         STORAGE,    2.358181E+00,    3.733726E+00,    4.077240E+00,
   CONSTANT HEAD,    3.615332E+02,    7.086968E+02,    6.093456E+02,
           WELLS,    2.246171E+03,    0.000000E+00,    0.000000E+00,
          DRAINS,    2.752302E+02,    3.582672E+02,    0.000000E+00,
        RECHARGE,    0.000000E+00,    0.000000E+00,    0.000000E+00,
     TO ZONE   0,    6.676934E+03,    6.552812E+03,    7.309098E+03,
     TO ZONE   1,    0.000000E+00,    5.432547E+03,    5.462705E+03,
     TO ZONE   2,    5.174633E+03,    0.000000E+00,    4.756468E+03,
     TO ZONE   3,    4.756061E+03,    4.499267E+03,    0.000000E+00,
Total OUT       ,    1.949292E+04,    1.755532E+04,    1.814169E+04,
 IN-OUT         ,    1.672245E-02,    4.605541E-02,   -9.663316E-02,
Percent Error   ,    8.578728E-05,    2.623441E-04,   -5.326593E-04,
,
Time Step,   1,Stress Period,  10,Sim. Time, 1.000000E+01,,
                ,  ZONE   1      ,  ZONE   2      ,  ZONE   3      ,
                ,    IN          ,    IN          ,    IN          ,
         STORAGE,    6.248465E+02,    5.560061E+02,    5.848785E+02,
   CONSTANT HEAD,    0.000000E+00,    0.000000E+00,    0.000000E+00,
           WELLS,    0.000000E+00,    0.000000E+00,    0.000000E+00,
          DRAINS,    0.000000E+00,    0.000000E+00,    0.000000E+00,
        RECHARGE,    1.496925E+03,    1.488371E+03,    1.462709E+03,
   FROM ZONE   0,    5.362789E+03,    5.369330E+03,    6.506715E+03,
   FROM ZONE   1,    0.000000E+00,    5.484384E+03,    4.695456E+03,
   FROM ZONE   2,    5.162470E+03,    0.000000E+00,    4.444696E+03,
   FROM ZONE   3,    5.128801E+03,    4.758745E+03,    0.000000E+00,
Total IN        ,    1.777583E+04,    1.765684E+04,    1.769446E+04,
                ,   OUT          ,   OUT          ,   OUT          ,
         STORAGE,    1.629216E+02,    1.163798E+02,    1.373892E+02,
   CONSTANT HEAD,    3.520028E+02,    6.937871E+02,    5.936361E+02,
           WELLS,    9.959227E+02,    0.000000E+00,    0.000000E+00,
          DRAINS,    1.336926E+02,    3.035019E+02,    2.111413E+01,
        RECHARGE,    0.000000E+00,    0.000000E+00,    0.000000E+00,
     TO ZONE   0,    5.955234E+03,    6.935975E+03,    7.054824E+03,
     TO ZONE   1,    0.000000E+00,    5.162470E+03,    5.128801E+03,
     TO ZONE   2,    5.484384E+03,    0.000000E+00,    4.758745E+03,
     TO ZONE   3,    4.695456E+03,    4.444696E+03,    0.000000E+00,
Total OUT       ,    1.777961E+04,    1.765681E+04,    1.769451E+04,
 IN-OUT         ,   -3.782404E+00,    2.659363E-02,   -5.435812E-02,
Percent Error   ,   -2.127609E-02,    1.506139E-04,   -3.072038E-04,
,
Time Step,   1,Stress Period,  11,Sim. Time, 1.100000E+01,,
                ,  ZONE   1      ,  ZONE   2      ,  ZONE   3      ,
                ,    IN          ,    IN          ,    IN          ,
         STORAGE,    6.945726E+02,    5.628555E+02,    6.180955E+02,
   CONSTANT HEAD,    0.000000E+00,    0.000000E+00,    0.000000E+00,
           WELLS,    0.000000E+00,    0.000000E+00,    0.000000E+00,
          DRAINS,    0.000000E+00,    0.000000E+00,    0.000000E+00,
        RECHARGE,    1.312870E+03,    1.305368E+03,    1.282861E+03,
   FROM ZONE   0,    5.791563E+03,    5.003228E+03,    5.709296E+03,
   FROM ZONE   1,    0.000000E+00,    5.456737E+03,    4.808139E+03,
   FROM ZONE   2,    5.394154E+03,    0.000000E+00,    4.126225E+03,
   FROM ZONE   3,    5.471329E+03,    4.771932E+03,    0.000000E+00,
Total IN        ,    1.866449E+04,    1.710012E+04,    1.654462E+04,
                ,   OUT          ,   OUT          ,   OUT          ,
         STORAGE,    1.167182E+02,    2.288192E+02,    2.287452E+02,
   CONSTANT HEAD,    3.375711E+02,    6.707406E+02,    5.692044E+02,
           WELLS,    1.944626E+03,    0.000000E+00,    0.000000E+00,
          DRAINS,    2.221415E+02,    2.937450E+02,    2.712887E+01,
        RECHARGE,    0.000000E+00,    0.000000E+00,    0.000000E+00,
     TO ZONE   0,    5.778570E+03,    6.386468E+03,    5.476385E+03,
     TO ZONE   1,    0.000000E+00,    5.394154E+03,    5.471329E+03,
     TO ZONE   2,    5.456737E+03,    0.000000E+00,    4.771932E+03,
     TO ZONE   3,    4.808139E+03,    4.126225E+03,    0.000000E+00,
Total OUT       ,    1.866450E+04,    1.710015E+04,    1.654472E+04,
 IN-OUT         ,   -1.404326E-02,   -3.246787E-02,   -1.079365E-01,
Percent Error   ,   -7.524051E-05,   -1.898691E-04,   -6.523946E-04,
,
Time Step,   1,Stress Period,  12,Sim. Time, 1.200000E+01,,
                ,  ZONE   1      ,  ZONE   2      ,  ZONE   3      ,
                ,    IN          ,    IN          ,    IN          ,
         STORAGE,    2.760008E+02,    1.994488E+02,    2.696900E+02,
   CONSTANT HEAD,    0.000000E+00,    0.000000E+00,    0.000000E+00,
           WELLS,    0.000000E+00,    0.000000E+00,    0.000000E+00,
          DRAINS,    0.000000E+00,    0.000000E+00,    0.000000E+00,
        RECHARGE,    1.343727E+03,    1.336048E+03,    1.313013E+03,
