flow_dir,record,ZONE   1,ZONE   2,ZONE   3,ZONE   4
in,WELLS,0.0,0.0,0.0,0.0
in,RIVER LEAKAGE,0.0,0.00419419026002,0.0,0.0
in,RECHARGE,0.0153000010177,0.0200000014156,0.0159000009298,0.0183000005782
in,FROM ZONE   1,0.0,0.0131018701941,0.00283484905958,0.0
in,FROM ZONE   2,0.0,0.0,0.0,0.00122571433894
in,FROM ZONE   3,0.000636716955341,0.0,0.0,0.0130006121472
in,FROM ZONE   4,0.0,0.00114616402425,0.0,0.0
 ,Total IN,0.0159367179731,0.038442225894,0.0187348499894,0.0325263270643
out,WELLS,0.0,0.0161999985576,0.0015499999281,0.00430000014603
out,RIVER LEAKAGE,0.0,0.021016843617,0.0,0.0258927177638
out,RECHARGE,0.0,0.0,0.0,0.0
out,TO ZONE   1,0.0,0.0,0.000636716955341,0.0
out,TO ZONE   2,0.0131018701941,0.0,0.0,0.00114616402425
out,TO ZONE   3,0.00283484905958,0.0,0.0,0.0
out,TO ZONE   4,0.0,0.00122571433894,0.0130006121472,0.0
 ,Total OUT,0.0159367192537,0.0384425565135,0.0151873290306,0.0313388819341
 ,IN-OUT,-1.2805685401e-09,-3.30619513988e-07,0.00354752095882,0.0011874451302
 ,Percent Error,-8.03533381722e-06,-0.000860038888415,20.9156431651,3.71859780567
