Time Step,   1,Stress Period,   1,Sim. Time, 1.000000E+01,ZoneBudget Test,
                ,  ZONE   1      ,  ZONE   2      ,  ZONE   3      ,  ZONE   4      ,
                ,    IN          ,    IN          ,    IN          ,    IN          ,
   CONSTANT HEAD,    0.000000E+00,    0.000000E+00,    0.000000E+00,    0.000000E+00,
   RIVER LEAKAGE,    0.000000E+00,    2.408758E-03,    0.000000E+00,    0.000000E+00,
        RECHARGE,    1.530000E-02,    2.000000E-02,    1.590000E-02,    1.830000E-02,
   FROM ZONE   1,    0.000000E+00,    1.334857E-02,    2.696172E-03,    0.000000E+00,
   FROM ZONE   2,    0.000000E+00,    0.000000E+00,    0.000000E+00,    1.567713E-03,
   FROM ZONE   3,    7.447382E-04,    0.000000E+00,    0.000000E+00,    1.337981E-02,
   FROM ZONE   4,    0.000000E+00,    2.727445E-04,    0.000000E+00,    0.000000E+00,
Total IN        ,    1.604474E-02,    3.603007E-02,    1.859617E-02,    3.324752E-02,
                ,   OUT          ,   OUT          ,   OUT          ,   OUT          ,
   CONSTANT HEAD,    0.000000E+00,    0.000000E+00,    4.471624E-03,    1.479694E-03,
   RIVER LEAKAGE,    0.000000E+00,    3.446269E-02,    0.000000E+00,    3.149540E-02,
        RECHARGE,    0.000000E+00,    0.000000E+00,    0.000000E+00,    0.000000E+00,
     TO ZONE   1,    0.000000E+00,    0.000000E+00,    7.447382E-04,    0.000000E+00,
     TO ZONE   2,    1.334857E-02,    0.000000E+00,    0.000000E+00,    2.727445E-04,
     TO ZONE   3,    2.696172E-03,    0.000000E+00,    0.000000E+00,    0.000000E+00,
     TO ZONE   4,    0.000000E+00,    1.567713E-03,    1.337981E-02,    0.000000E+00,
Total OUT       ,    1.604474E-02,    3.603041E-02,    1.859617E-02,    3.324784E-02,
 IN-OUT         ,   -3.201421E-09,   -3.315781E-07,    1.833541E-09,   -3.147852E-07,
Percent Error   ,   -1.995309E-05,   -9.202773E-04,    9.859778E-06,   -9.467885E-04,
,
